연도,자치구,인구,발생건수,인구 수 대비 사고비율
2016,성동구,307161,1026,0.3340267807436491
2016,성북구,461617,1518,0.3288440417055698
2016,송파구,664946,2405,0.3616835051267321
2016,양천구,481845,1382,0.28681422449127836
2016,영등포구,406779,2235,0.5494383928373883
2016,용산구,245102,1333,0.5438552112997854
2016,은평구,495937,1041,0.2099056936667359
2016,종로구,161922,1222,0.7546843541952298
2016,중구,134409,1204,0.8957733485108884
2016,중랑구,415677,1448,0.34834739473196735
2017,강남구,561052,3300,0.5881807746875513
2017,강동구,440359,1267,0.2877197922604057
2017,강북구,328002,1136,0.34633935158931956
2017,강서구,608255,1491,0.24512745476814823
2017,관악구,520929,1181,0.22671035784147167
2017,광진구,372298,968,0.2600067687712531
2017,구로구,441559,1352,0.30618784805654514
2017,금천구,253491,773,0.30494179280526723
2017,노원구,558075,1429,0.25605877346234823
2017,도봉구,346234,891,0.2573404113980718
2017,동대문구,366011,1615,0.44124356918234703
2017,동작구,408493,1306,0.319711720886282
2017,마포구,385783,1727,0.44766099076423793
2017,서대문구,325028,951,0.2925901768463025
2017,서초구,445401,2228,0.5002233941998334
2017,성동구,312711,987,0.31562688872473305
2017,성북구,455407,1438,0.31576150564220573
2017,송파구,671173,2565,0.38216674389464417
2017,양천구,475018,1248,0.26272688613905154
2017,영등포구,402024,2215,0.5509621316140331
2017,용산구,244444,1229,0.5027736414066207
2017,은평구,491202,975,0.19849267714708002
2017,종로구,164257,1105,0.6727262765057197
2017,중구,134593,1160,0.8618576003209677
2017,중랑구,412780,1533,0.3713842724938224
2018,강남구,547453,3309,0.6044354492531779
2018,강동구,431920,1315,0.3044545286164105
2018,강북구,322915,1140,0.35303408017589766
2018,강서구,603611,1406,0.2329314740785042
2018,관악구,520040,1218,0.23421275286516421
2018,광진구,371063,1034,0.2786588800284588
2018,구로구,438486,1446,0.32977107592944815
2018,금천구,254021,880,0.34642805122411136
2018,노원구,548160,1491,0.2720008756567426
2018,도봉구,341649,770,0.225377507324769
2018,동대문구,364338,1604,0.44025053658965024
2018,동작구,409385,1333,0.3256103667696667
2018,마포구,386359,1563,0.4045460310229605
2018,서대문구,323080,961,0.2974495480995419
2018,서초구,438163,2363,0.5392970196022941
2018,성동구,316463,1046,0.330528371405188
2018,성북구,447687,1333,0.2977526709509099
2018,송파구,673507,2669,0.39628392874907015
2018,양천구,468145,1331,0.2843136207798866
2018,영등포구,403600,2350,0.5822596630327056
2018,용산구,245090,1228,0.5010404341262393
2018,은평구,487666,1036,0.21244048180516992
2018,종로구,163026,1062,0.6514298332781274
2018,중구,135633,1048,0.7726733169656352
2018,중랑구,408147,1466,0.35918431349489277
2019,강남구,550209,3557,0.6464816097155808
2019,강동구,440390,1330,0.3020050409863984
2019,강북구,317695,1205,0.37929460646217283
2019,강서구,598273,1717,0.2869927274003674
2019,관악구,517334,1297,0.2507084398087116
2019,광진구,366972,924,0.2517903273274255
2019,구로구,439371,1446,0.32910683681899805
2019,금천구,251820,859,0.34111667063775714
2019,노원구,537303,1615,0.30057528061447636
2019,도봉구,335631,800,0.2383570051634086
2019,동대문구,363023,1491,0.41071777821239974
2019,동작구,408912,1331,0.3254979066400595
2019,마포구,385925,1387,0.35939625574917405
2019,서대문구,323171,1033,0.31964501765319286
2019,서초구,435107,2306,0.5299845785059767
2019,성동구,308979,1015,0.32850128973166465
2019,성북구,454744,1432,0.3149024506095737
2019,송파구,682741,2729,0.399712336010288
2019,양천구,462285,1429,0.30911667045221025
2019,영등포구,400986,2324,0.5795713566059663
2019,용산구,245185,1107,0.45149580928686506
2019,은평구,484546,1038,0.21422114721822075
2019,종로구,161869,1044,0.6449659910174277
2019,중구,136488,1112,0.8147236387081649
2019,중랑구,402024,1495,0.37186834616838793
